lat,lon,road,risk_score,lanes_weight,nearby_alerts_15km,alert_rank
32.1752232,34.8913508,554,2.0,1.0,61983,51
32.092596430112785,34.85228225861316,481,2.0,2.0,61853,52
32.001370811820365,34.82101222215649,412,2.0,1.5,61796,53
31.8132421,34.899548,411,2.0,1.5,61765,54
31.8986517,34.8103932,412,2.0,1.5,61419,55
31.8162527,34.9143267,44,1.8,2.5,61241,56
32.03178156804269,34.8293036161141,4,1.8,1.5,61194,57
32.17185451608901,34.897044633954344,531,1.5,1.5,61024,58
31.921098,34.8136263,423,2.0,2.0,60928,59
31.83491195066921,34.977408256699064,3,1.8,1.5,60721,60
31.8469955,34.8368469,411,2.0,1.5,60715,61
31.888374962196917,34.77877425795698,410,2.0,1.5,60624,62
32.12256616089965,34.8541405289068,4,1.8,1.5,59866,63
31.872956511156616,34.821870646428074,40,1.8,1.5,59512,64
31.900957631061125,34.76340029277351,42,1.8,1.5,58613,65
31.854417,35.0040893,3,1.8,1.5,58462,66
31.93496740523937,34.79979862224626,412,2.0,1.5,57447,67
31.942603086440204,34.80069336576319,412,2.0,1.5,57433,68
31.800202999053703,34.805238958539405,7,1.8,1.5,57341,69
31.830224723350366,34.98962017417698,1,1.5,2.0,57200,70
32.17966622393499,34.94579289934344,55,1.8,1.5,57121,71
31.883297774009087,34.77016930483222,410,2.0,1.5,56602,72
31.99920533846322,34.803402201518274,4,1.8,1.5,56482,73
31.81066302236724,34.93630781315902,44,1.8,2.5,56272,74
31.8546671,35.0286728,3,1.8,1.5,55857,75
32.160543785064284,34.84258360397408,482,2.0,2.0,55832,76
31.8667295,34.7451792,42,1.8,1.5,55067,77
32.1200192177935,34.82534547728752,482,2.0,2.0,54388,78
32.01517331749907,34.81082169945545,44,1.8,2.5,54326,79
31.79683145502639,34.79369448037766,7,1.8,1.5,53022,80
32.02931533806774,34.806449509767134,1,1.5,2.0,52276,81
32.2028663,34.9715699,444,2.0,1.5,51804,82
31.79424701906824,34.83096713771216,6,1.5,1.5,51657,83
31.797076916571235,34.97304357793926,44,1.8,2.5,51633,84
31.882384766042144,34.724747937900084,4,1.8,1.5,51376,85
32.2288017,34.9432451,554,2.0,1.0,50227,86
31.8152197,35.0241182,38,1.8,1.5,50077,87
32.2297963,34.9505011,554,2.0,1.0,49571,88
31.873979607495315,34.719219443365425,4,1.8,1.5,49441,89
32.21645443499871,34.88334086158183,4,1.8,1.5,48951,90
32.2158118959682,34.88355902326494,4,1.8,1.5,48951,91
31.77910554285568,34.83282831986793,6,1.5,1.5,48264,92
31.7602253,34.793411,383,2.0,1.0,47376,93
31.761982419743447,34.791683771291886,3,1.8,1.5,47374,94
31.806838013070312,35.03780313425314,1,1.5,2.0,47222,95
32.0828465,34.8034674,482,2.0,2.0,46514,96
32.18850294368572,34.84012128225119,531,1.5,1.5,46486,97
32.1402052,34.8080752,5,1.5,2.0,45663,98
31.9484652,34.7513192,20,1.5,2.0,45221,99
32.08214446488169,34.79768319357016,20,1.5,2.0,43632,100
31.774416,35.0065076,44,1.8,2.5,43125,101
31.7765792,35.0117922,395,2.0,1.5,43125,102
31.777830377914675,35.01099517258108,38,1.8,1.5,43125,103
32.1571635,34.8145949,20,1.5,2.0,42624,104
31.77081277292907,35.00071705697992,38,1.8,1.5,42436,105
32.160343,34.8156954,20,1.5,2.0,42295,106
32.0471027,34.7841113,461,2.0,1.5,41057,107
32.141733,34.8014666,5,1.5,2.0,41051,108
32.2391313,34.9819499,6,1.5,1.5,41002,109
32.0794928,34.7935987,481,2.0,2.0,40858,110
32.14324998003359,34.802267323474524,2,1.5,2.0,40746,111
32.0997636,34.7935108,2,1.5,2.0,40528,112
32.2615995,34.944886,553,2.0,1.5,40505,113
31.80667,35.1034242,425,2.0,1.0,38969,114
31.748969859210998,34.87867537383736,383,2.0,1.0,38951,115
32.016886920968204,34.761776243331255,20,1.5,2.0,38615,116
32.0380721,34.778851,44,1.8,2.5,38464,117
31.808076370761526,34.6950490777238,4,1.8,1.5,38169,118
32.2373667,34.8789916,551,2.0,1.0,38064,119
32.2612249,34.9157054,562,2.0,1.5,37380,120
31.7456872,34.8200324,383,2.0,1.0,37209,121
32.2615478,34.9250644,553,2.0,1.5,36990,122
31.7764783,35.0664881,395,2.0,1.5,36931,123
32.18581243902859,34.81545167564944,2,1.5,2.0,36514,124
32.2121943,34.8253988,543,2.0,1.5,35199,125
31.749605,35.0023796,3855,2.0,1.5,34274,126
31.777412480774984,35.09880345362604,395,2.0,1.5,34154,127
32.28278731265563,34.8964933427581,4,1.8,1.5,32953,128
32.25589575597846,34.86275033720635,553,2.0,1.5,32663,129
31.8282099,34.6628569,41,1.5,1.5,32367,130
